Место;Координаты;Год;Что измеряем; Значение
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2011;Взвешенные вещества, мг/л;74,9
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2011;Цветность, град.;5
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2011;pH;8,15
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2011;Кислород;8,87
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2011;Сульфаты;44
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2011;Хлориды;12,3
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2011;Сумма ионов (минерализация) , мг/л;243
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2011;Общая жесткость, ммоль/л;3,41
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2011;Азот нитритный, мг/л;0,023
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2011;Азот нитратный, мг/л;1,25
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2011;ВПК 5, мг/л;1,53
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2011;Нефтепродукты, мг/л;0,02
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2012;Температура воды, град.;16,4
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2012;Взвешенные вещества, мг/л;26,9
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2012;Цветность, град.;4
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2012;pH;7,99
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2012;Кислород;9,51
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2012;Сульфаты;53,6
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2012;Хлориды;12,4
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2012;Сумма ионов (минерализация) , мг/л;255
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2012;Общая жесткость, ммоль/л;3,42
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2012;Азот нитритный, мг/л;0,022
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2012;Азот нитратный, мг/л;1,35
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2012;ВПК 5, мг/л;1,09
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2012;Нефтепродукты, мг/л;0,01
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2013;Температура воды, град.;13,9
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2013;Взвешенные вещества, мг/л;60,3
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2013;Цветность, град.;6
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2013;pH;8,2
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2013;Кислород;9,88
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2013;Сульфаты;43,9
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2013;Хлориды;11,6
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2013;Сумма ионов (минерализация) , мг/л;240
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2013;Общая жесткость, ммоль/л;3,3
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2013;Азот нитритный, мг/л;0,034
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2013;Азот нитратный, мг/л;1,38
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2013;ВПК 5, мг/л;1,54
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2013;Нефтепродукты, мг/л;0,02
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2014;Температура воды, град.;15
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2014;Взвешенные вещества, мг/л;16,8
р. Чу - г. Токмок, 0,5 км ниже города, 0,2 м;42.858074, 75.190389;2014;Цветность, град.;5
